Year,Month,Weekly,Date,Fac.,Model,PGSC,Supplier,Part group,Stock Qty,Input Q'ty,Target of Input Qty,Inspection Qty,Pass Qty,Reject Qty,Return Qty,Percent,Return %,Result,Air Bubble,Big/ small,Bonding gap,Blk point,Burn,"Color 
Migration",C-Grade ,Crooked toe,Damaged,Deform,"Different 
color",Dirty,Long\ Short,Long ,Short,Missing Painting,Mold,Over Cement,Over painting,Over Primer,"Over
trimming",Uneven color,"Peel Off
painting",Poor Attached,"Poor 
buffing","Poor 
painting",Poor Trimming,Shiny/not shiny,Tear/ Crack,Thickness,Scratched,Toe spring/Hell spring,Undercure,Thinness Edge,Wobbling,Yellow,Over buffing,Poor edge,Fungus,Concave,Long toe,Others,REMARK
2025,1,1,2025-01-02,A,TENSAUR RUN 3.0 J,AB3-IE3542,SOC TRANG,IMEVA,6400,0,6669,950,912,38,38,4.00%,0.57%,,19,,,,4,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,A,TENSAUR RUN 3.0 J,AB4-IE3544,SOC TRANG,IMEVA,14630,4948,20284,2710,2550,160,160,5.90%,0.79%,,49,,,,,5,,,11,,,26,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,A,VL COURT 3.0 K,AB2-ID6313,TAESUNG RACH GIA,Outsole,,910,910,910,892,18,18,1.98%,1.98%,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,A,VL COURT 3.0 K,AB2-ID9062,TAESUNG RACH GIA,Outsole,,1260,1260,1260,1223,37,37,2.94%,2.94%,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,A,LIGHTSHIFT,A-JH9324,EZ,Stockfit,1370,500,1870,1870,1847,23,23,1.23%,1.23%,,18,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,A,LIGHTSHIFT,A-JH9315,EZ,Stockfit,,1037,1037,1037,1016,21,21,2.03%,2.03%,,,,2,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,A,LIGHTSHIFT,A-JH9319,EZ,Stockfit,970,143,1113,1113,1086,27,27,2.43%,2.43%,,11,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,A,LIGHTSHIFT,A-JH9326,EZ,Stockfit,,556,556,556,547,9,9,1.62%,1.62%,,,,7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,B,ADVANTAGE K,AC-GY6995,TAESUNG RACH GIA,Outsole,3250,374,3624,2100,2042,58,58,2.76%,1.60%,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,C,GALAXY 7 M,AB-IE8226,TAESUNG RACH GIA,Stockfit,911,1289,2231,2200,2165,35,35,1.59%,1.57%,,,,,,,,,,3,,,,,,,,,17,,,,,,15,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,C,GALAXY 7 M,AB-ID8752,EZ,Stockfit,,1100,1109,600,591,9,9,1.50%,0.81%,,,,3,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,C,GALAXY 7 M,AC3-ID8757,TAESUNG RACH GIA,Stockfit,,1970,1970,1970,1950,20,20,1.02%,1.02%,,,,4,,,,,,5,,,,,,,,,,,7,,,,4,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,C,GALAXY 7 W,AC3-ID8764,TAESUNG RACH GIA,Stockfit,,600,609,500,491,9,9,1.80%,1.48%,,,,3,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,C,ADVANTAGE BASE 2.0 CF C,A1-JI4194,TAESUNG RACH GIA,Outsole,,1117,1117,110,107,3,3,2.73%,0.27%,Pass,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,C,ADVANTAGE BASE 2.0 CF C,A1-JI4195,TAESUNG RACH GIA,Outsole,,1317,1317,130,127,3,3,2.31%,0.23%,Pass,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,C,GRAND COURT 2.0 EL C,AC2-IH5529,TAESUNG RACH GIA,Outsole,,1128,1128,220,214,6,6,2.73%,0.53%,Pass,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,C,TENSAUR SPORT 2.0 CF K,AB4-GW6439,TAESUNG RACH GIA,Outsole,,4275,4275,420,411,9,9,2.14%,0.21%,Pass,,,,,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2025-01-02,C,VL COURT 3.0 EL C,AB4-ID9155,TAESUNG CU CHI,Outsole,800,0,800,800,751,49,49,6.13%,6.13%,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
