Year,Month,Week,Date,Supplier,Part,Process,Model,PGSC,Po#,Input Qty ,Inspection Q'ty ,Pass Qty ,Reject Qty ,Reject %,Result,"Wrong printing 
position",Bad printing,"Peel off 
printing",Delamination,"Wrong pressing 
position","Different
 color",Dirty,Bonding Gap,"Logo scratch/
peel of",High/ low sidetrip,Air hole,"Peel off
3 stripes",Poor 3 trip,Undistance,Damaged material,"Pressing not
emboss","Pressing not 
subsidence",Wrong size,Wrong material,"Wrong cutting
 direction",Wrong cutting die,Punch Hole,Peel off pressing,Overcement,Cutting deviated,Peel off eyestay,Burned Material,Poor logo,Color migration,Over painting,White spot,Needle hole,Jagged marks,Lack of painting,Big/Small Logo,Poor pressing,Poor edge,Peel off painting,Over trimming,Lack of details,Heel 3mm short,Heel 4mm short,Heel 5mm short,Heel 6mm short,Toe 3mm short,Wamp pattern position wrong over +-1mm,Wrong position logo 2mm,Wrong position logo 3-4-5mm,Logo dented,Wrong size toe box,Eyestay pressing subsidence not matching,Wrong wamp position to left/right,Other defect,Remark 
2025,1,1,2001-02-25,HOANG DINH HOANG,Quater/tongue logo,Printing,TENSAUR RUN 3.0 J,A1-JP9644,136070074,537,26,26,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Tongue Logo,Printing,VL COURT 3.0 EL C,A1-JH6317,135849284,540,26,26,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Tongue Logo,Printing,VL COURT 3.0 K,AB1-IE3630,A135330885,605,30,30,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Tongue Logo,HF,GALAXY 7 W,AB-ID8764,135895010,295,14,14,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Vamp,Nosew,GALAXY 7 W,AB-ID8764,135895010,295,295,292,3,1.02%,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Vamp,Nosew,GALAXY 7 W,AB-ID8764,900185102,113,113,109,4,3.54%,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Tongue Logo,HF,GALAXY 7 W,AB-ID8764,900185102,113,6,6,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Tongue Logo,HF,GALAXY 7 W,AB-ID8764,135894986,118,5,5,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Tongue Logo,HF,GALAXY 7 W,AB-ID8764,900185044,11,1,1,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Tongue Logo,HF,GALAXY 7 W,AB-ID8764,135908537,917,45,45,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Vamp,Nosew,GALAXY 7 W,AB-ID8764,135908537,917,917,849,68,7.42%,,,,,,1,64,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Vamp,Nosew,GALAXY 7 W,AB-ID8764,135894986,118,118,97,21,17.80%,,,,,,,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,HOANG DINH HOANG,Vamp,Nosew,GALAXY 7 W,AB-ID8764,900185044,11,11,11,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue/ back tap,HF,GRAND COURT 2.0,AC6-GW9198,900332682,214,10,10,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue/ back tap,HF,GRAND COURT 2.0,AC6-GW9198,900356739,242,12,12,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG AN GIANG,Tongue/ back tap,HF,GRAND COURT 2.0,AC6-GW9214,900358467,60,3,3,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,1,2001-02-25,THANH HUNG KIEN GIANG,Vamp,Nosew,TENSAUR SPORT 2.0 CF K,AB3-GW1987,900391467,935,46,46,0,0.00%,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
